"","node","state","proportion","model"
"93",86,"ADH",0.0843899291238635,"DECJ_fossil"
"94",86,"ADHI",0.045808683104848,"DECJ_fossil"
"95",86,"ACDH",0.045788840195772,"DECJ_fossil"
"96",95,"A",0.998864900684573,"DECJ_fossil"
"97",95,"AI",0.000579896207717607,"DECJ_fossil"
"98",95,"AD",0.000361783752129598,"DECJ_fossil"
"99",95,"I",0.00010840936489497,"DECJ_fossil"
"100",95,"D",6.20228590660048e-05,"DECJ_fossil"
"101",96,"A",0.956794702322163,"DECJ_fossil"
"102",96,"AI",0.0178952688345697,"DECJ_fossil"
"103",96,"AD",0.0100370351468422,"DECJ_fossil"
"104",96,"I",0.00787477763674216,"DECJ_fossil"
"105",96,"D",0.00440348998631038,"DECJ_fossil"
"106",97,"I",0.519739064708646,"DECJ_fossil"
"107",97,"D",0.242266023235924,"DECJ_fossil"
"108",97,"DI",0.221907639547785,"DECJ_fossil"
"109",97,"A",0.0104450865952926,"DECJ_fossil"
"110",97,"AI",0.00201696933794256,"DECJ_fossil"
"111",98,"D",0.499876506498905,"DECJ_fossil"
"112",98,"DI",0.307477740700461,"DECJ_fossil"
"113",98,"I",0.188847888113732,"DECJ_fossil"
"114",98,"ADI",0.00140442201118665,"DECJ_fossil"
"115",98,"AD",0.000637341022076272,"DECJ_fossil"
"116",133,"A",0.999540155319171,"DECJ_fossil"
"117",133,"AI",6.59656218947086e-05,"DECJ_fossil"
"118",133,"AD",6.59309639131268e-05,"DECJ_fossil"
"119",133,"AC",6.56522721534302e-05,"DECJ_fossil"
"120",133,"AB",6.55003133071083e-05,"DECJ_fossil"
"121",35,"ADH",0.0617922963054876,"DEC_extant"
"122",35,"AD",0.0617497058573481,"DEC_extant"
"123",35,"ADGH",0.0600885239937298,"DEC_extant"
"124",35,"AGH",0.0439164844577448,"DEC_extant"
"125",35,"ACDG",0.0427505533197652,"DEC_extant"
"126",36,"D",0.159516254140514,"DEC_extant"
"127",36,"ADGH",0.0562528796497278,"DEC_extant"
"128",36,"AD",0.0390429889780585,"DEC_extant"
"129",36,"DH",0.0372403609041354,"DEC_extant"
"130",36,"ACDH",0.036619253651267,"DEC_extant"
"131",52,"A",0.598810523450147,"DEC_extant"
"132",52,"AC",0.0313144463711853,"DEC_extant"
"133",52,"AB",0.0305163173568637,"DEC_extant"
"134",52,"AG",0.0257094071199176,"DEC_extant"
"135",52,"AE",0.0183580149094163,"DEC_extant"
"136",35,"AD",0.0941648588699909,"DECJ_extant"
"137",35,"ABDG",0.0679242597178662,"DECJ_extant"
"138",35,"ACDG",0.0677949493892698,"DECJ_extant"
"139",35,"ADH",0.0673232000624578,"DECJ_extant"
"140",35,"ADG",0.0529906044088627,"DECJ_extant"
"141",36,"D",0.104724563339942,"DECJ_extant"
"142",36,"ABDG",0.0678944621548621,"DECJ_extant"
"143",36,"ACDG",0.0677223765971541,"DECJ_extant"
"144",36,"AD",0.0459291011999988,"DECJ_extant"
"145",36,"ADGH",0.0418891673871083,"DECJ_extant"
"146",52,"A",0.818706061073118,"DECJ_extant"
"147",52,"H",0.0323931960051856,"DECJ_extant"
"148",52,"AB",0.0140896628620577,"DECJ_extant"
"149",52,"AE",0.011909796566034,"DECJ_extant"
"150",52,"AC",0.0104583615342374,"DECJ_extant"
