generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
1370000,4,-0.0690547,-796.841,2.13185,2.11899,0.399
1380000,5,-1.84449,-800.171,3.90999,2.03291,0.399571
1390000,9,2.51272,-799.521,12.2224,2.03514,0.449
1400000,3,-1.07691,-802.444,3.14918,2.07514,0.361
1410000,6,-0.468768,-800.806,10.963,2.07813,0.418
1420000,6,0.747865,-790.889,6.42444,2.02659,0.444
1430000,6,1.7158,-803.56,8.1028,1.96523,0.458
1440000,4,-0.280532,-808.441,3.11436,2.20078,0.426
1450000,4,-1.25976,-801.539,2.48547,2.083,0.396
1460000,5,-0.0271507,-799.678,7.65876,2.0269,0.41
1470000,4,-4.16901,-799.268,7.43438,1.97862,0.427
1480000,2,-0.534525,-814.512,1.82035,2.18302,0.3975
1490000,4,-0.199434,-805.836,4.13519,2.07461,0.369
1500000,2,-6.06686,-806.741,2.74825,2.04308,0.359
1510000,3,0.0883764,-799.312,3.85916,2.06438,0.399
1520000,5,-1.98344,-791.86,7.26026,2.12271,0.436
1530000,4,-0.851689,-797.868,4.18579,2.05724,0.418
1540000,4,-1.85036,-805.282,6.65063,2.02077,0.411
1550000,5,-0.654702,-799.515,7.12983,2.07636,0.422
1560000,4,0.427621,-803.012,8.74098,2.01913,0.428167
1570000,2,-0.171799,-808.816,2.3546,2.06897,0.391333
1580000,2,-1.39565,-808.144,1.63834,1.98126,0.353
1590000,5,1.94598,-798.347,10.077,2.12418,0.419067
1600000,2,0.415676,-814.47,2.37628,1.9651,0.368857
1610000,3,-0.0272081,-804.706,2.44128,2.02767,0.405
1620000,4,-0.265725,-801.243,3.68268,2.13357,0.376615
1630000,5,1.9887,-801.212,5.17582,2.08839,0.3825
1640000,4,0.324784,-805.935,5.29046,2.06854,0.40725
1650000,5,0.240183,-800.632,3.63789,2.03285,0.387
1660000,5,2.34707,-798.941,4.56294,2.02372,0.422
1670000,1,-1.48051,-811.915,0.79107,2.09888,0.35
1680000,4,-5.47293,-801.502,1.99632,2.07924,0.415
1690000,7,-2.11201,-804.923,3.39141,2.06341,0.419286
1700000,5,2.07747,-801.366,6.53518,2.0768,0.440091
1710000,6,-0.163516,-793.748,3.73427,2.08725,0.40375
1720000,7,0.656515,-799.211,7.6372,2.04586,0.408
1730000,6,1.9989,-794.763,7.44451,2.15352,0.433
1740000,5,-3.18002,-799.073,6.18679,2.10176,0.414
1750000,4,-1.01116,-796.883,4.35093,2.00407,0.40725
1760000,3,-4.05393,-808.231,6.29584,1.9813,0.409
1770000,3,0.338147,-804.588,3.55203,2.06937,0.401
1780000,3,-0.0942516,-817.814,3.65385,2.02999,0.356
1790000,2,-0.587743,-812.87,2.58684,1.99381,0.389933
1800000,4,0.889293,-804.346,1.80997,2.12514,0.404
1810000,4,2.06779,-811.897,4.73089,2.04011,0.420667
1820000,3,-3.24437,-796.304,1.88751,2.0626,0.41
1830000,1,-3.2659,-813.705,3.03996,1.97041,0.331
1840000,4,-0.160098,-804.961,3.05954,2.06958,0.388
1850000,8,-5.73289,-797.998,12.9264,2.05442,0.43
1860000,3,0.741596,-801.667,1.51734,2.03581,0.438
1870000,5,-0.0694885,-798.484,2.25761,1.96125,0.415
1880000,5,0.00493492,-794.927,4.56246,2.05974,0.407
1890000,4,0.729954,-803.373,4.29459,2.08168,0.426
1900000,4,0.819581,-800.517,6.41129,2.1073,0.379
1910000,7,-1.90822,-807.197,11.8627,2.02168,0.41025
1920000,3,-0.703915,-806.082,4.58956,2.04455,0.42
1930000,5,-0.556763,-801.302,9.71679,2.0872,0.400857
1940000,4,1.65168,-797.019,6.43865,1.98094,0.415778
1950000,6,0.101427,-794.422,10.4391,2.02717,0.420727
1960000,4,0.572031,-798.6,2.03686,2.04811,0.4005
1970000,4,0.840032,-800.595,1.661,2.1111,0.3936
1980000,5,-1.17936,-807.256,1.98208,2.09627,0.397
1990000,4,-1.52239,-799.356,5.0939,2.05029,0.414
2000000,6,1.4352,-792.696,5.31478,1.99847,0.415
2010000,3,-1.3889,-809.621,1.69182,2.08962,0.405
2020000,1,-3.35906,-811.334,1.09842,2.04569,0.339
2030000,8,-1.82827,-793.95,7.58188,2.02858,0.415
2040000,6,-0.269938,-799.097,11.528,2.0977,0.388368
2050000,3,-0.649389,-806.277,2.65033,1.97897,0.395
2060000,5,1.68946,-802.446,5.02621,1.97586,0.404
2070000,6,-1.79077,-793.205,7.0133,2.07838,0.431
2080000,6,0.25293,-802.474,5.49268,2.0786,0.43
2090000,5,1.83261,-799.465,2.90986,2.02524,0.388333
2100000,6,0.435056,-794.275,3.2238,2.07018,0.399
2110000,4,-1.54307,-800.122,3.34502,1.97792,0.4215
2120000,2,0.80876,-811.947,2.73555,2.00066,0.388
2130000,4,1.96572,-802.429,4.97685,2.01631,0.406
2140000,7,0.462619,-794.546,6.02255,1.99851,0.381
2150000,3,-1.86755,-803.919,1.83794,2.06469,0.417143
2160000,6,-1.85051,-791.557,5.23958,2.09836,0.345
2170000,6,-1.19214,-796.657,4.76736,1.98726,0.412
2180000,2,-2.08869,-807.864,2.56237,2.08911,0.414333
2190000,6,0.127711,-794.486,6.568,2.05576,0.41
2200000,1,-2.89818,-813.1,0.498508,2.05936,0.406357
2210000,5,0.270057,-795.056,4.4375,2.05584,0.439
2220000,4,-0.575064,-798.991,4.40039,2.09075,0.384
2230000,5,-0.316927,-796.942,2.74812,2.13146,0.419
2240000,7,-2.12259,-798.949,7.05101,2.01351,0.356
2250000,3,0.22225,-808.526,3.73471,2.07968,0.413333
2260000,5,2.71369,-802.214,4.42585,1.9744,0.404636
2270000,7,-3.07602,-793.401,6.7181,2.10809,0.387
