generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
1500000,1,3.62405,-811.849,0.0151949,2.18158,0.337
1510000,1,2.31841,-811.758,0.00393226,2.0503,0.33
1520000,1,5.97473,-811.751,0.00511157,2.06214,0.352
1530000,1,3.71014,-815.069,0.0140364,2.01119,0.331333
1540000,1,3.33556,-816.026,0.0197613,2.14766,0.347059
1550000,1,3.79033,-815.125,0.0154285,2.06295,0.346
1560000,0,5.3973,-826.743,0.00527908,2.06296,0.188
1570000,1,4.56896,-810.78,0.0115136,2.12601,0.356
1580000,1,-0.932651,-812.18,0.0666524,2.12158,0.355
1590000,1,2.54931,-811.284,0.0322911,2.08013,0.321
1600000,1,2.29652,-811.131,0.02614,2.03015,0.339588
1610000,1,3.13199,-814.327,0.0152738,2.1412,0.378
1620000,0,5.4637,-825.93,0.00408117,2.03725,0.324692
1630000,1,1.53427,-813.135,0.0265256,2.02821,0.3005
1640000,1,3.08058,-814.338,0.020056,1.992,0.3625
1650000,1,3.44044,-814.275,0.0226929,2.11898,0.344
1660000,1,0.888843,-816.34,0.0240664,1.94686,0.356
1670000,1,1.69533,-813.42,0.0257859,2.08199,0.378
1680000,1,-3.58361,-812.31,0.0487185,1.99073,0.34375
1690000,1,4.71591,-811.377,0.0101395,2.06755,0.352182
1700000,1,4.52328,-815.026,0.0140897,2.08757,0.353636
1710000,1,3.7656,-813.904,0.01574,2.07572,0.333
1720000,1,2.75771,-811.703,0.0165336,2.10051,0.356
1730000,1,5.1125,-815.064,0.00411669,1.97215,0.3495
1740000,1,3.99141,-811.713,0.00704205,2.04362,0.361
1750000,1,1.70738,-812.083,0.0292678,1.98867,0.355
1760000,1,1.97319,-816.252,0.0183007,1.93019,0.361
1770000,1,3.33613,-813.816,0.00816433,2.03471,0.356667
1780000,0,4.93917,-825.993,0.00760284,2.11856,0.2815
1790000,1,1.78213,-813.964,0.0282442,2.15683,0.372
1800000,1,-3.37471,-813.054,0.0746384,2.08953,0.3376
1810000,0,5.47029,-826.827,0.00561484,2.03143,0.187
1820000,1,3.53146,-810.483,0.0178079,2.04761,0.322
1830000,1,4.1732,-814.574,0.0151024,2.06387,0.36
1840000,1,1.39495,-811.478,0.0128628,2.0153,0.32
1850000,1,-0.048391,-811.981,0.0420883,2.09135,0.324
1860000,1,0.530087,-812.594,0.0302437,2.12591,0.346
1870000,1,5.62112,-813.865,0.00448573,2.15282,0.354
1880000,1,4.78945,-816.622,0.0127243,2.01879,0.348
1890000,1,2.02095,-813.463,0.0230103,2.0474,0.333
1900000,1,4.03021,-815.377,0.00987293,2.14226,0.376
1910000,1,1.71297,-819.701,0.0140308,1.96136,0.349
1920000,1,1.86071,-811.412,0.023023,2.04485,0.344
1930000,1,4.66525,-811.337,0.00565561,2.09023,0.337143
1940000,1,3.67209,-811.367,0.0144465,2.03909,0.346889
1950000,1,2.90723,-815.418,0.0205323,2.0738,0.353455
1960000,1,2.18266,-813.006,0.0366253,2.13831,0.353
1970000,1,0.667025,-810.049,0.0167439,2.05169,0.2858
1980000,1,0.0391058,-814.359,0.0463324,2.17244,0.376
1990000,2,-1.53125,-808.181,0.0225527,2.13248,0.328
2000000,1,3.97145,-811.882,0.00566821,2.06956,0.3185
2010000,1,2.84372,-812.562,0.0123252,2.1574,0.331167
2020000,1,3.52691,-814.618,0.00120796,2.12429,0.3235
2030000,1,0.186567,-811.919,0.0295867,2.12193,0.348429
2040000,1,1.84298,-814.994,0.0404327,1.99487,0.3225
2050000,1,3.72985,-810.645,0.0111177,2.07021,0.354
2060000,1,0.790612,-813.676,0.0433887,1.99306,0.348833
2070000,1,4.01441,-814.422,0.0162837,2.01345,0.3445
2080000,1,6.23276,-816.823,0.00736838,2.04978,0.34
2090000,1,5.17818,-811.247,0.0063908,2.11534,0.338
2100000,1,2.81254,-812.539,0.0301938,2.06513,0.342
2110000,1,3.58157,-812.159,0.0156302,2.08236,0.3335
2120000,1,1.48149,-815.294,0.0553128,2.07902,0.348
2130000,1,5.35849,-815.716,0.00443096,1.96902,0.318
2140000,1,4.37507,-812.928,0.0132624,2.07606,0.382
2150000,1,4.44208,-811.244,0.00985328,2.12165,0.331429
2160000,1,3.44359,-814.136,0.00637406,1.99239,0.352
2170000,1,4.3011,-815.068,0.0171037,1.9733,0.346
2180000,1,4.45019,-816.761,0.00423126,2.10949,0.355
2190000,1,4.72224,-813.668,0.00956221,2.09935,0.356667
2200000,1,3.92452,-813.705,0.0276618,2.12184,0.326143
